Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
2057.7190,15.5600,38.5900,24.5400,239.8914,0.2000,38.0017,47.3535,51.5578,41.6304,56.1324,54.1947,57.2667,28.2437,23.0156,24.1369,26.0937,27.2560,22.9809,27.9569
2058.0240,15.5600,38.5900,24.5400,239.9063,0.1990,34.4741,42.9193,53.4654,41.6304,54.7235,52.4326,54.7053,28.0407,22.9551,25.1590,26.5139,26.9859,22.8532,28.0600
2058.3290,15.5600,38.5900,24.5400,239.9195,0.2000,33.8048,39.0362,50.6801,41.8876,53.0277,52.4326,54.0231,28.6584,22.3666,24.7778,26.7599,26.9859,22.6018,28.1465
2058.6330,15.5600,38.5900,24.5400,239.9292,0.2000,30.6431,34.1983,47.8748,42.1043,52.1043,51.1251,53.0601,28.8702,22.2411,23.9219,27.1055,26.7363,22.6585,27.9569
2058.9380,15.5600,38.5900,24.5400,239.9389,0.2000,27.1874,29.3699,42.0161,39.8350,51.1571,48.6935,54.3932,28.2437,22.0496,23.7848,26.5139,26.6439,22.8532,27.8716
2059.2430,15.5600,38.5900,24.5400,239.9580,0.2000,24.2832,25.1595,38.6100,38.9931,50.2960,48.1206,50.2568,29.3030,21.7519,24.2780,26.6826,25.9114,22.8532,27.4027
2059.5500,15.5600,38.5900,24.5400,240.0974,0.2000,20.8079,20.4973,35.4071,38.9931,49.1574,47.3106,49.9924,29.7485,21.3354,23.7848,26.5139,25.5101,22.3557,27.1416
2059.8560,15.5600,38.5900,24.5400,240.2363,0.2000,17.8963,16.4410,30.9043,38.1853,48.3116,45.9557,51.1767,28.4496,21.2206,23.3104,26.5903,25.7523,22.8532,27.2227
2060.1610,15.5600,38.5900,24.5400,240.3748,0.1994,14.7138,13.1196,27.7390,37.7935,48.6068,45.9557,49.1134,27.8405,21.5685,24.1369,27.0262,25.1342,22.5342,26.7903
2060.4650,15.5600,38.5900,24.5400,240.3144,0.2000,12.2135,10.4155,23.9974,37.6180,48.3116,44.9433,48.3134,27.8405,20.9946,23.9219,26.7599,24.7555,22.2894,26.3557
2060.7700,15.5600,38.5900,24.5400,240.2049,0.2000,10.1350,8.1736,20.3187,37.6180,47.5412,43.5042,47.4909,28.3556,20.1349,23.1799,26.9316,24.6890,22.0497,26.0237
2061.0740,15.5600,38.5900,24.5400,240.0958,0.2000,8.3246,6.5085,17.1419,35.5988,44.3527,39.8947,48.0199,27.9494,19.9304,22.4253,26.5903,24.4006,21.9959,25.9493
2061.3800,15.5600,38.5900,24.5400,240.0401,0.2000,6.8194,5.2501,14.5175,34.7712,45.0672,38.9201,45.4842,27.7504,19.9858,22.5478,26.5903,23.7686,21.7622,25.3123
2061.6840,15.5600,38.5900,24.5400,240.0347,0.2000,5.6290,4.2566,12.1226,34.1241,44.3527,37.3220,43.1980,26.9813,19.5864,22.3701,26.8533,23.5608,21.4715,25.0742
2061.9880,15.5600,38.5900,24.5400,240.0292,0.1991,4.6605,3.5177,10.1687,33.5001,42.1858,35.0542,41.9312,27.2562,19.0151,22.1300,26.6826,23.5003,21.0294,24.7724
2062.2930,15.5600,38.5900,24.5400,240.0082,0.2008,3.8801,2.9595,8.5494,32.7375,39.6770,32.1039,40.7350,26.9813,18.6922,21.8949,26.5139,23.1087,20.8148,24.3326
2062.5980,15.5600,38.5900,24.5400,239.9368,0.2000,3.2590,2.5214,7.1434,31.2120,38.4192,30.0663,38.8829,26.1560,18.6030,21.2173,26.4228,22.7294,20.6044,23.9837
2062.9030,15.5600,38.5900,24.5400,239.8654,0.2000,2.7687,2.1841,6.0213,29.6865,36.6290,27.6583,36.5500,25.4691,18.3402,21.2173,26.3473,22.3618,20.3980,23.6320
2063.2070,15.5600,38.5900,24.5400,239.7943,0.2000,2.3810,1.9207,5.1001,27.9625,34.0060,25.1969,34.3482,26.2525,18.1304,21.2173,25.8594,22.2418,19.9522,23.2299
2063.5120,15.5600,38.5900,24.5400,239.7834,0.2000,2.0617,1.7064,4.3452,27.1253,31.4897,22.8563,32.1219,25.7303,17.7981,20.7301,25.4588,21.8891,19.7580,22.8990
2063.8170,15.5600,38.5900,24.5400,239.7755,0.1997,1.8068,1.5320,3.7319,26.0590,29.6094,20.6187,29.7525,24.9763,17.3561,19.9757,25.8594,21.5981,19.3802,22.5883
2064.1210,15.5600,38.5900,24.5400,239.7676,0.1992,1.6010,1.3908,3.2156,23.6611,26.8804,18.5037,27.5010,24.1948,17.1255,19.7821,25.0018,21.4351,19.2879,22.4640
2064.4260,15.5600,38.5900,24.5400,239.7752,0.2000,1.4317,1.2757,2.8200,22.4735,24.8108,16.6866,24.8759,23.9762,17.0500,19.9757,25.3885,21.1063,18.8387,21.9797
2064.7310,15.5600,38.5900,24.5400,239.7905,0.2000,1.2935,1.1770,2.4859,21.7156,22.5829,15.0643,22.9461,24.1261,16.4355,19.1729,25.3885,20.8924,18.5321,21.5151
2065.0350,15.5600,38.5900,24.5400,239.8057,0.2000,1.1754,1.0937,2.2000,20.2963,20.5025,13.4629,20.7933,23.7481,16.2275,18.5212,25.2352,20.7299,18.1600,21.2898
2065.3400,15.5600,38.5900,24.5400,239.8137,0.1990,1.0788,1.0233,1.9691,18.3419,18.4276,11.9758,18.9153,23.1134,15.9879,18.3914,24.7858,20.4767,17.9536,21.1788
2065.6450,15.5600,38.5900,24.5400,239.8103,0.1990,0.9944,0.9625,1.7754,16.9247,16.7814,10.8142,17.0742,22.5706,15.6321,18.2707,24.4947,20.1213,17.5262,19.1703
2065.9500,15.5600,38.5900,24.5400,239.8070,0.2000,0.9231,0.9106,1.6129,15.7024,14.8795,9.5659,15.2727,23.8952,15.4088,17.8671,24.2742,19.7342,17.0777,20.1725
2066.2560,15.5600,38.5900,24.5400,239.8052,0.1995,0.8609,0.8632,1.4733,14.5139,13.5254,8.6097,13.8736,22.4388,15.0767,17.3298,24.2100,19.6396,16.9330,20.0724
2066.5610,15.5600,38.5900,24.5400,239.8156,0.2000,0.8076,0.8221,1.3540,13.4556,12.1890,7.7433,12.4286,21.7897,14.9583,17.2555,24.4947,19.2698,16.7521,19.7775
2066.8660,15.5600,38.5900,24.5400,239.8259,0.2000,0.7610,0.7859,1.2551,12.3297,10.8281,6.9606,11.1109,21.6664,14.8680,17.3298,24.4164,19.0493,14.8410,19.6811
2067.1710,15.5600,38.5900,24.5400,239.8363,0.2000,0.7204,0.7539,1.1657,11.3295,9.6942,6.2706,10.0118,22.1794,14.5016,16.7519,23.8568,18.8257,16.1112,19.3040
2067.4750,15.5600,38.5900,24.5400,239.8746,0.2000,0.6838,0.7253,1.0881,10.3864,8.6753,5.6662,9.0201,21.5445,14.2830,16.2394,23.9944,18.5301,15.2429,19.0302
2067.7800,15.5600,38.5900,24.5400,239.9185,0.2000,0.6510,0.6986,1.0198,9.4546,7.7993,5.1333,8.0712,21.3045,14.1760,16.2754,23.6472,18.2358,15.5427,18.7636
2068.0840,15.5600,38.5900,24.5400,239.9623,0.2000,0.6222,0.6745,0.9601,8.6763,7.0273,4.6651,7.2550,20.3938,13.7352,15.8869,23.6472,17.9935,15.2697,18.4653
2068.3890,15.5600,38.5900,24.5400,239.9682,0.1991,0.5963,0.6532,0.9071,7.8384,6.2721,4.2612,6.5494,20.4535,13.3928,15.6375,22.8657,17.8783,15.0368,18.1684
2068.6940,15.5600,38.5900,24.5400,239.9433,0.2000,0.5728,0.6336,0.8599,7.2289,5.6522,3.8811,5.7313,20.9019,13.4407,15.3359,22.9925,17.5684,14.6450,17.7648
2069.0010,15.5600,38.5900,24.5400,239.9181,0.2000,0.5511,0.6150,0.8172,6.5594,5.0959,3.5481,5.3074,19.8616,13.0868,14.9572,22.6161,17.1553,14.3766,17.5307
2069.3060,15.5600,38.5900,24.5400,239.8995,0.2000,0.5318,0.5980,0.7791,5.9814,4.6054,3.2627,4.8190,19.6560,12.8617,14.7894,22.1971,15.1210,14.2435,17.1937
2069.6110,15.5600,38.5900,24.5400,239.8973,0.1994,0.5140,0.5827,0.7443,5.4720,4.1552,3.0091,4.3491,20.5035,12.5816,14.4643,21.9612,16.6281,13.8890,16.9735
2069.9160,15.5600,38.5900,24.5400,239.8952,0.1997,0.4973,0.5682,0.7135,5.0097,3.7697,2.7783,3.9584,20.0712,12.4325,14.1245,21.7822,16.3576,13.6719,16.6500
2070.2210,15.5600,38.5900,24.5400,239.8930,0.1997,0.4824,0.5545,0.6850,4.6112,3.4399,2.5816,3.6112,18.8304,12.3312,14.0236,21.5036,16.3214,13.6938,16.7909
2070.5290,15.5600,38.5900,24.5400,239.9081,0.2000,0.4685,0.5419,0.6595,4.2127,3.1284,2.3955,3.2931,18.7794,12.2277,13.9737,21.4426,16.0310,13.2727,16.3073
2070.8330,15.5600,38.5900,24.5400,239.9230,0.2000,0.4556,0.5305,0.6353,3.8748,2.8542,2.2281,3.0182,18.7371,11.8365,13.5176,21.5547,15.9325,13.0491,16.0425
2071.1380,15.5600,38.5900,24.5400,239.9379,0.2000,0.4438,0.5198,0.6133,3.5484,2.5818,2.0800,2.7684,18.8731,11.8192,13.2875,21.0052,15.5939,12.8557,15.8204
2071.4430,15.5600,38.5900,24.5400,239.9180,0.1992,0.4327,0.5089,0.5930,3.2666,2.4041,1.9460,2.5466,18.0605,11.5960,13.2628,20.8504,15.4133,12.6034,15.5702
2071.7470,15.5600,38.5900,24.5400,239.8852,0.1993,0.4226,0.4995,0.5745,2.9936,2.2067,1.8234,2.3507,17.9354,11.3453,12.9970,20.3802,15.3218,12.4001,15.3274
2072.0530,15.5600,38.5900,24.5400,239.8522,0.1996,0.4129,0.4901,0.5371,1.0729,0.5190,0.4181,0.2806,18.3239,11.1878,12.6803,2.0845,0.4454,0.2352,0.1933
2072.3570,15.5600,38.5900,24.5400,239.8345,0.4944,0.0600,0.1517,0.1064,0.1091,0.1113,0.1339,0.1091,0.1175,0.1087,0.1209,0.1116,0.1036,0.0964,0.1061
2072.6610,15.5600,38.5900,24.5400,239.8354,0.8827,0.0683,0.1413,0.1025,0.0989,0.1071,0.1240,0.1136,0.0965,0.0958,0.1119,0.1055,0.1016,0.0950,0.1040
2072.9660,15.5600,38.5900,24.5400,239.8363,0.8927,0.0757,0.1357,0.1038,0.0967,0.1078,0.1194,0.1153,0.0954,0.0948,0.1133,0.1057,0.1032,0.0966,0.1045
2073.2710,15.5600,38.5900,24.5400,239.8424,0.8965,0.0801,0.1336,0.1067,0.0966,0.1095,0.1178,0.1172,0.0963,0.0949,0.1150,0.1065,0.1044,0.0980,0.1053
2073.5760,15.5600,38.5900,24.5400,239.8753,0.8978,0.0826,0.1343,0.1098,0.0973,0.1116,0.1180,0.1193,0.0974,0.0953,0.1163,0.1072,0.1058,0.0992,0.1059
2073.8800,15.5600,38.5900,24.5400,239.9082,0.8980,0.0851,0.1359,0.1130,0.0987,0.1139,0.1189,0.1216,0.0979,0.0956,0.1174,0.1077,0.1066,0.1000,0.1064
2074.1850,15.5600,38.5900,24.5400,239.9411,0.8990,0.0869,0.1380,0.1160,0.1003,0.1160,0.1203,0.1241,0.0985,0.0958,0.1182,0.1080,0.1072,0.1008,0.1067
2074.4890,15.5600,38.5900,24.5400,239.8973,0.8980,0.0887,0.1404,0.1187,0.1017,0.1180,0.1216,0.1262,0.0991,0.0960,0.1187,0.1082,0.1078,0.1014,0.1070
2074.7940,15.5600,38.5900,24.5400,239.8430,0.8980,0.0901,0.1427,0.1213,0.1031,0.1199,0.1232,0.1282,0.0995,0.0962,0.1190,0.1084,0.1082,0.1018,0.1071
2075.1000,15.5600,38.5900,24.5400,239.7885,0.8987,0.0915,0.1447,0.1234,0.1044,0.1218,0.1247,0.1302,0.0998,0.0963,0.1194,0.1086,0.1084,0.1022,0.1072
2075.4060,15.5600,38.5900,24.5400,239.8256,0.8985,0.0929,0.1466,0.1253,0.1056,0.1233,0.1260,0.1317,0.1000,0.0963,0.1197,0.1088,0.1087,0.1025,0.1075
2075.7110,15.5600,38.5900,24.5400,239.9223,0.8984,0.0939,0.1485,0.1271,0.1067,0.1247,0.1270,0.1332,0.1003,0.0965,0.1199,0.1089,0.1090,0.1027,0.1077
2076.0170,15.5600,38.5900,24.5400,240.0193,0.8980,0.0950,0.1499,0.1288,0.1078,0.1261,0.1281,0.1345,0.1006,0.0966,0.1201,0.1089,0.1091,0.1030,0.1075
2076.3230,15.5600,38.5900,24.5400,240.0705,0.8990,0.0960,0.1514,0.1299,0.1086,0.1273,0.1292,0.1358,0.1007,0.0967,0.1202,0.1090,0.1093,0.1032,0.1078
2076.6280,15.5600,38.5900,24.5400,240.0303,0.8989,0.0968,0.1527,0.1313,0.1096,0.1285,0.1300,0.1369,0.1010,0.0970,0.1204,0.1089,0.1094,0.1034,0.1078
2076.9320,15.5600,38.5900,24.5400,239.9901,0.8990,0.0976,0.1539,0.1324,0.1103,0.1294,0.1309,0.1378,0.1010,0.0968,0.1204,0.1090,0.1095,0.1035,0.0358
2077.2370,15.5600,38.5900,24.5400,239.9543,0.8990,0.1075,0.3034,0.4619,0.3448,0.5495,0.6217,0.9646,0.1530,0.1889,0.2596,0.3848,0.7026,0.9096,1.0711
2077.5420,15.5600,38.5900,24.5400,239.9976,0.2138,1.3603,3.6981,5.5524,4.0085,5.7014,6.3447,8.4323,2.8557,3.2263,3.1288,4.3584,6.0299,6.1064,7.3896
2077.8470,15.5600,38.5900,24.5400,240.0409,0.2087,8.5406,27.5427,37.1162,25.6881,35.2569,36.1388,43.8803,15.1658,14.2830,12.0089,13.7706,15.9961,15.0368,17.8080
2078.2390,15.5600,38.5900,24.5400,240.0941,0.2040,36.3914,59.2946,66.6330,56.1517,66.9022,64.9101,70.1936,19.4545,19.9858,16.3723,17.8782,19.5969,17.7946,21.2291
2078.5480,15.5600,38.5900,24.5400,240.0960,0.2030,63.1793,79.0683,83.0507,57.0082,80.3481,81.5165,82.0372,21.8575,22.4242,18.6451,19.5575,21.7739,19.2379,23.2900
2078.8520,15.5600,38.5900,24.5400,240.0978,0.2016,75.0345,86.8347,87.0883,61.1589,83.3863,83.9107,95.4964,22.9753,23.4225,19.9225,20.8504,23.8427,19.8989,23.9837
2079.1570,15.5600,38.5900,24.5400,240.0996,0.2010,78.3034,86.8347,91.7066,64.9139,88.3945,85.6391,91.5214,23.6027,23.9872,21.1082,22.1323,24.8357,20.0506,24.5572
2079.4620,15.5600,38.5900,24.5400,240.0942,0.2010,77.6770,86.8347,89.8357,62.1738,87.4402,84.8448,85.2249,23.9762,24.2124,22.0654,22.6837,25.8244,20.3980,25.3123
2079.7670,15.5600,38.5900,24.5400,240.0869,0.2010,75.0345,81.1822,80.0247,56.1517,82.5354,81.5165,79.0768,25.3028,24.1324,22.3701,23.4531,26.4004,21.0294,25.9493
2080.0710,15.5600,38.5900,24.5400,240.0796,0.2000,69.1448,78.3034,76.4748,54.8767,76.1799,76.9817,76.3203,26.4311,23.9217,22.2494,23.9944,26.7363,21.6471,26.0237
2080.3760,15.5600,38.5900,24.5400,240.0865,0.2001,63.1793,72.5638,70.3356,52.9649,73.6306,71.6582,73.1862,26.8797,23.9872,22.2494,24.4947,26.8138,22.2894,26.3557
2080.6810,15.5600,38.5900,24.5400,240.1073,0.2000,58.5022,67.5047,66.0832,51.5016,69.5025,67.0156,67.5280,27.0667,24.0662,23.1211,25.1523,26.6439,22.9111,26.6960
2080.9850,15.5600,38.5900,24.5400,240.1280,0.2000,54.4606,64.5303,64.6599,46.6306,66.3502,64.3583,64.9666,27.4483,23.7788,23.5758,24.7858,27.3364,23.1100,27.0449
2081.2900,15.5600,38.5900,24.5400,240.1479,0.2008,49.5111,63.1793,63.2123,47.2234,61.2867,61.0677,63.0846,28.9870,24.0662,23.7229,25.2352,26.9859,23.3003,27.0449
2081.5950,15.5600,38.5900,24.5400,240.1649,0.2000,46.1185,57.3178,58.5052,44.6417,60.4399,58.8476,62.6718,28.4496,23.6376,23.5758,25.4588,27.2560,23.3003,27.3206
2081.8990,15.5600,38.5900,24.5400,240.1820,0.2000,43.5478,55.1483,56.6351,44.9368,59.9876,58.0183,59.1825,27.6431,23.4980,23.9974,26.0937,27.0806,23.1692,27.5851
2082.2040,15.5600,38.5900,24.5400,240.1990,0.2006,43.1138,51.5911,54.8161,41.6304,56.1324,53.8074,55.0846,27.9494,23.2853,24.3427,25.7725,26.6439,23.1692,27.8716
2082.5090,15.5600,38.5900,24.5400,240.1101,0.2000,39.5577,48.9538,53.8273,41.8876,56.1324,54.9192,57.6122,28.6584,22.8829,24.2780,25.9322,27.3364,22.7841,27.9569
2082.8140,15.5600,38.5900,24.5400,240.0150,0.2000,37.3412,46.6139,54.5033,43.3597,54.3512,52.4326,56.1218,28.6584,22.6925,23.8594,26.7599,27.0806,22.6018,27.9569
2083.1180,15.5600,38.5900,24.5400,239.9201,0.2000,34.7542,41.8611,48.9595,40.5104,53.0277,52.4326,56.1218,28.4496,22.8231,23.9219,26.2573,26.9859,22.7268,28.0600
2083.4230,15.5600,38.5900,24.5400,239.9167,0.1998,32.5168,38.6853,48.6589,40.2695,52.7357,51.7707,53.3574,27.9494,22.8829,24.7778,26.6826,26.7363,22.4781,28.0600
2083.7280,15.5600,38.5900,24.5400,239.9600,0.2000,29.5749,32.7667,45.3583,40.9595,52.7357,51.4753,52.7077,28.4496,21.9939,24.1369,26.9316,26.5673,22.4781,27.8716
2084.0320,15.5600,38.5900,24.5400,240.0032,0.2000,26.1726,28.0928,41.4265,39.4097,51.1571,50.2138,53.0601,28.8702,21.8723,23.7229,27.1055,26.4004,22.5342,27.5019
2084.3370,15.5600,38.5900,24.5400,240.0134,0.1999,22.7522,23.4517,37.1162,40.5104,51.1571,49.0116,52.0732,28.5631,21.7519,23.4424,27.2815,25.9114,22.4781,27.4027
2084.6420,15.5600,38.5900,24.5400,239.9698,0.2000,19.5655,19.1578,34.5448,39.2192,50.5620,47.8646,49.9924,27.8405,21.3984,23.8594,27.2815,25.5951,22.5342,27.3206
2084.9460,15.5600,38.5900,24.5400,239.9263,0.2000,16.6761,15.4288,30.5588,38.9931,49.1574,46.7691,48.8606,28.2437,21.0558,24.2008,26.9316,25.3556,22.2894,26.9649
2085.2510,15.5600,38.5900,24.5400,239.8900,0.2000,13.9097,12.4091,26.4338,38.1853,48.0682,44.9433,49.1134,29.2035,20.9946,23.1799,26.7599,24.9841,22.1689,26.5248
2085.5560,15.5600,38.5900,24.5400,239.9208,0.1995,11.5197,9.7137,22.3701,38.0062,48.0682,43.2939,48.8606,28.0407,20.5075,22.6716,27.2012,22.9118,21.8785,25.8606
2085.8610,15.5600,38.5900,24.5400,239.9516,0.2000,9.5392,7.6966,19.2637,35.4426,45.5416,41.5264,45.4842,28.1511,20.2387,22.9926,26.3473,24.1186,21.6993,25.5404
2086.1670,15.5600,38.5900,24.5400,239.9825,0.2000,7.8244,6.1244,16.2094,35.9471,45.7605,41.1064,45.7480,27.7504,19.7842,22.8654,26.8533,23.9799,21.7622,25.6996
2086.4730,15.5600,38.5900,24.5400,239.9663,0.1998,6.4158,4.9347,13.6810,34.2691,43.7002,38.1863,45.4842,27.7504,19.5331,21.9479,26.1827,23.7686,21.4204,25.0050
2086.7780,15.5600,38.5900,24.5400,239.9401,0.1999,5.2887,4.0516,11.4347,33.8093,41.7771,35.5030,43.0013,27.5542,19.6310,22.0654,26.5139,23.4282,21.6993,25.4687
2087.0850,15.5600,38.5900,24.5400,239.9138,0.2000,4.3750,3.3511,9.5666,32.1616,40.5960,33.7203,40.7350,26.9813,19.1506,22.0654,26.4228,23.2378,20.9803,24.5572
2087.3890,15.5600,38.5900,24.5400,239.8905,0.2000,3.6569,2.8227,7.9969,30.6869,39.4783,31.4852,39.4375,26.5131,18.6030,21.5510,26.5139,22.9809,20.5572,24.0476
2087.6940,15.5600,38.5900,24.5400,239.8694,0.2000,3.0843,2.4243,6.7311,30.2927,36.7720,28.6536,37.8485,27.2562,18.6030,21.1082,26.0201,22.4831,20.3980,23.6320
2087.9980,15.5600,38.5900,24.5400,239.8485,0.2000,2.6271,2.1014,5.6588,28.4002,35.1252,26.4683,35.4965,25.8081,18.1304,20.5224,26.0937,22.3618,20.2504,23.2299
2088.3030,15.5600,38.5900,24.5400,239.8567,0.2000,2.2629,1.8500,4.8063,26.7246,33.0704,24.2672,33.2700,24.9763,17.7536,20.5224,25.4588,22.1230,19.7580,23.0988
2088.6070,15.5600,38.5900,24.5400,239.9445,0.2000,1.9704,1.6487,4.1036,25.5065,30.4617,22.0154,30.6179,24.9763,17.4342,20.2182,25.7725,21.8891,19.4734,22.7139
2088.9120,15.5600,38.5900,24.5400,240.0325,0.2000,1.7334,1.4869,3.5463,24.9762,27.7676,19.5784,28.4343,25.3028,17.0158,19.6350,26.0201,21.4858,19.1965,22.3410
2089.2170,15.5600,38.5900,24.5400,240.1206,0.2000,1.5391,1.3561,3.0750,23.2018,25.7264,17.5287,26.2897,24.9033,17.1255,19.4477,25.4588,21.1555,18.8387,21.9797
2089.5220,15.5600,38.5900,24.5400,240.0277,0.2000,1.3813,1.2431,2.6848,21.8486,23.7447,15.7853,23.8736,23.6818,16.6487,19.3135,25.6147,20.8347,18.5321,21.7450
2089.8260,15.5600,38.5900,24.5400,239.9327,0.2000,1.2526,1.1502,2.3755,19.9434,21.0851,14.0202,21.3953,23.5372,16.2963,18.9939,24.9339,20.4767,18.0784,21.6295
2090.1310,15.5600,38.5900,24.5400,239.8374,0.2000,1.1396,1.0708,2.1142,18.8782,19.0302,12.6987,19.9353,23.6027,16.0548,18.4370,24.7058,20.6260,18.1154,20.9601
2090.4360,15.5600,38.5900,24.5400,239.8426,0.1991,1.0466,1.0032,1.8951,15.4540,17.5094,11.2173,17.8310,23.1134,15.7608,17.9031,25.4588,20.0232,17.4845,20.6400
2090.7410,15.5600,38.5900,24.5400,239.8898,0.2000,0.9681,0.9457,1.7131,16.0998,15.6059,10.0547,15.9472,23.2530,15.5340,17.9031,24.4947,19.6396,17.2247,20.3757
2091.0460,15.5600,38.5900,24.5400,239.9369,0.2000,0.9006,0.8934,1.5592,14.8906,13.9309,9.0245,14.3536,22.7651,15.1969,17.5911,24.4164,19.4111,16.8939,20.4788
2091.3510,15.5600,38.5900,24.5400,239.9789,0.2004,0.8413,0.8492,1.4276,13.7263,12.5261,8.0744,13.0821,22.3674,14.8680,17.1087,24.2100,19.5036,16.8227,20.0272
2091.6560,15.5600,38.5900,24.5400,240.0140,0.2000,0.7902,0.8108,1.3143,12.6532,11.3110,7.2653,11.7080,22.4985,14.9263,16.9643,24.4947,19.0898,16.5124,19.6375
2091.9610,15.5600,38.5900,24.5400,240.0491,0.2000,0.7455,0.7748,1.2176,11.4856,10.0874,6.5307,6.0470,21.4895,14.5016,16.6445,23.7948,18.7002,3.9697,2.0183
2092.2660,15.5600,38.5900,24.5400,240.0753,0.2000,0.0795,0.1786,0.1326,0.1917,0.1766,0.1766,0.1456,0.1889,0.1346,0.1535,0.1242,0.1120,0.1039,0.1127
2092.5710,15.5600,38.5900,24.5400,240.0503,0.8767,0.0650,0.1498,0.1074,0.1083,0.1160,0.1339,0.1181,0.1007,0.0983,0.1152,0.1070,0.1028,0.0963,0.1053
2092.8750,15.5600,38.5900,24.5400,240.0254,0.8907,0.0724,0.1416,0.1059,0.1007,0.1117,0.1253,0.1181,0.0969,0.0958,0.1144,0.1065,0.1036,0.0972,0.1054
2093.1800,15.5600,38.5900,24.5400,240.0004,0.8950,0.0778,0.1379,0.1075,0.0993,0.1120,0.1219,0.1193,0.0971,0.0957,0.1156,0.1070,0.1051,0.0987,0.1059
2093.4840,15.5600,38.5900,24.5400,239.9873,0.8970,0.0813,0.1369,0.1103,0.0993,0.1133,0.1212,0.1211,0.0979,0.0958,0.1168,0.1075,0.1060,0.0997,0.1064
2093.7890,15.5600,38.5900,24.5400,239.9760,0.8980,0.0839,0.1379,0.1131,0.1003,0.1151,0.1214,0.1230,0.0986,0.0961,0.1179,0.1080,0.1070,0.1005,0.1067
2094.0940,15.5600,38.5900,24.5400,239.9647,0.8982,0.0861,0.1396,0.1161,0.1016,0.1170,0.1225,0.1251,0.0991,0.0962,0.1184,0.1082,0.1075,0.1013,0.1070
2094.3990,15.5600,38.5900,24.5400,240.0038,0.8990,0.0880,0.1415,0.1187,0.1026,0.1191,0.1236,0.1271,0.0995,0.0965,0.1191,0.1085,0.1082,0.1018,0.1072
2094.7030,15.5600,38.5900,24.5400,240.0786,0.8990,0.0899,0.1436,0.1215,0.1040,0.1208,0.1248,0.1291,0.0998,0.0965,0.1193,0.1086,0.1086,0.1021,0.1074
2095.0090,15.5600,38.5900,24.5400,240.1538,0.8990,0.0912,0.1455,0.1235,0.1052,0.1224,0.1260,0.1310,0.1001,0.0967,0.1197,0.1088,0.1088,0.1023,0.1077
2095.3140,15.5600,38.5900,24.5400,240.1908,0.8986,0.0923,0.1473,0.1254,0.1064,0.1240,0.1272,0.1324,0.1005,0.0968,0.1199,0.1090,0.1091,0.1027,0.1077
2095.6190,15.5600,38.5900,24.5400,240.1411,0.8983,0.0935,0.1489,0.1274,0.1073,0.1254,0.1282,0.1338,0.1006,0.0967,0.1201,0.1090,0.1091,0.1029,0.1078
2095.9240,15.5600,38.5900,24.5400,240.0914,0.8982,0.0947,0.1504,0.1289,0.1083,0.1267,0.1290,0.1351,0.1007,0.0968,0.1202,0.1092,0.1094,0.1032,0.1078
2096.2290,15.5600,38.5900,24.5400,240.0428,0.8990,0.0956,0.1517,0.1302,0.1092,0.1278,0.1301,0.1364,0.1010,0.0970,0.1205,0.1092,0.1094,0.1032,0.1079
2096.5330,15.5600,38.5900,24.5400,240.0336,0.8990,0.0965,0.1530,0.1316,0.1099,0.1289,0.1309,0.1373,0.1011,0.0970,0.1205,0.1090,0.1096,0.1035,0.1079
2096.8380,15.5600,38.5900,24.5400,240.0245,0.8990,0.0973,0.1542,0.1327,0.1106,0.1297,0.1316,0.1382,0.1013,0.0970,0.1205,0.1093,0.1096,0.1038,0.1079
2097.1430,15.5600,38.5900,24.5400,240.0153,0.8990,0.0472,0.1261,0.1878,0.1457,0.2373,0.2691,0.4221,0.0490,0.0578,0.0896,0.1272,0.2499,0.3731,0.4237
2097.4480,15.5600,38.5900,24.5400,240.0119,0.2147,0.6628,1.8854,2.8742,2.1166,3.0986,3.5039,4.8832,1.4179,1.6472,1.7220,2.4800,3.6558,3.9179,4.7554
2097.7520,15.5600,38.5900,24.5400,240.0103,0.2100,5.1980,12.5698,18.6062,13.1437,18.1804,19.5335,24.8083,8.2921,9.1168,7.9515,9.8122,12.1074,11.6964,13.8312
2098.0570,15.5600,38.5900,24.5400,240.0088,0.2060,21.3961,40.6776,53.1675,36.8645,50.5620,50.8369,59.1825,16.9631,17.3986,14.5175,16.0923,18.0371,16.8227,19.7336
2098.3610,15.5600,38.5900,24.5400,239.9803,0.2034,47.3535,69.6423,75.8734,54.0817,78.1461,77.6364,79.0768,20.7264,21.6329,17.7104,18.9628,20.9988,18.8787,22.6452
2098.6660,15.5600,38.5900,24.5400,239.9199,0.2030,69.1448,87.6161,92.5828,60.7082,84.9922,87.4393,88.6672,22.3084,23.5613,19.8258,20.5378,22.8545,19.7057,23.8443
2098.9710,15.5600,38.5900,24.5400,239.8595,0.2017,77.6770,88.5723,94.5698,65.4284,90.1987,90.3736,91.5214,23.4590,24.0662,20.5224,21.6679,24.4656,20.2963,24.3326
